"Category","Folder","Asset ID / Code","Asset Name","Filename","CDN URL","GitHub Raw URL","Google Sheets Image Formula"
"Hero Circle Photo","hero","0","Hero 0","0_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/0_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/0_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/0_CIRCLE.png"")"
"Hero Circle Photo","hero","100","Brody","100_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/100_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/100_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/100_CIRCLE.png"")"
"Hero Circle Photo","hero","101","Yve","101_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/101_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/101_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/101_CIRCLE.png"")"
"Hero Circle Photo","hero","102","Mathilda","102_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/102_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/102_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/102_CIRCLE.png"")"
"Hero Circle Photo","hero","103","Paquito","103_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/103_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/103_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/103_CIRCLE.png"")"
"Hero Circle Photo","hero","104","Gloo","104_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/104_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/104_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/104_CIRCLE.png"")"
"Hero Circle Photo","hero","105","Beatrix","105_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/105_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/105_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/105_CIRCLE.png"")"
"Hero Circle Photo","hero","106","Phoveus","106_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/106_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/106_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/106_CIRCLE.png"")"
"Hero Circle Photo","hero","107","Natan","107_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/107_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/107_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/107_CIRCLE.png"")"
"Hero Circle Photo","hero","108","Aulus","108_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/108_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/108_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/108_CIRCLE.png"")"
"Hero Circle Photo","hero","109","Aamon","109_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/109_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/109_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/109_CIRCLE.png"")"
"Hero Circle Photo","hero","10","Franco","10_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/10_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/10_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/10_CIRCLE.png"")"
"Hero Circle Photo","hero","110","Valentina","110_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/110_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/110_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/110_CIRCLE.png"")"
"Hero Circle Photo","hero","111","Edith","111_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/111_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/111_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/111_CIRCLE.png"")"
"Hero Circle Photo","hero","112","Floryn","112_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/112_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/112_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/112_CIRCLE.png"")"
"Hero Circle Photo","hero","113","Yin","113_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/113_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/113_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/113_CIRCLE.png"")"
"Hero Circle Photo","hero","114","Melissa","114_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/114_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/114_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/114_CIRCLE.png"")"
"Hero Circle Photo","hero","115","Xavier","115_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/115_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/115_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/115_CIRCLE.png"")"
"Hero Circle Photo","hero","116","Julian","116_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/116_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/116_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/116_CIRCLE.png"")"
"Hero Circle Photo","hero","117","Fredrinn","117_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/117_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/117_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/117_CIRCLE.png"")"
"Hero Circle Photo","hero","118","Joy","118_CIRCLE.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/118_CIRCLE.png","https://raw.githubusercontent.com/Bokpau/mlbb-tool/main/hero/118_CIRCLE.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/hero/118_CIRCLE.png"")"
