"ID / Code","Name","Filename","CDN URL","Google Sheets Image Formula"
"0","Rune 0","0.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/0.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/0.png"")"
"0","Rune 0","0_runes.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/0_runes.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/0_runes.png"")"
"111","Thrill","111_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/111_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/111_RUNES.png"")"
"112","Swift","112_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/112_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/112_RUNES.png"")"
"1211","Fatal","1211_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/1211_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/1211_RUNES.png"")"
"121","Wilderness Blessing","121_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/121_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/121_RUNES.png"")"
"1221","Weapon Master","1221_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/1221_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/1221_RUNES.png"")"
"122","Seasoned Hunter","122_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/122_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/122_RUNES.png"")"
"1231","Weakness Finder","1231_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/1231_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/1231_RUNES.png"")"
"131","Impure Rage","131_RUNES.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/131_RUNES.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/Rune/131_RUNES.png"")"
