"ID / Code","Name","Filename","CDN URL","Google Sheets Image Formula"
"0","Item 0","0.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/0.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/0.png"")"
"10000","Item 10000","10000.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10000.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10000.png"")"
"10001","Item 10001","10001.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10001.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10001.png"")"
"10002","Item 10002","10002.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10002.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10002.png"")"
"10003","Item 10003","10003.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10003.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/10003.png"")"
"1001","Dagger","1001.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1001.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1001.png"")"
"1002","Knife","1002.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1002.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1002.png"")"
"1003","Javelin","1003.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1003.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1003.png"")"
"1004","Vampire Mallet","1004.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1004.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1004.png"")"
"1005","Iron Hunting Bow","1005.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1005.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1005.png"")"
"1006","Regular Spear","1006.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1006.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1006.png"")"
"1007","Swift Crossbow","1007.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1007.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1007.png"")"
"1008","Power Potion","1008.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1008.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1008.png"")"
"1010","Power Potion","1010.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1010.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1010.png"")"
"1101","Mystery Codex","1101.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1101.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1101.png"")"
"1102","Power Crystal","1102.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1102.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1102.png"")"
"1103","Magic Necklace","1103.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1103.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1103.png"")"
"1104","Book of Sages","1104.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1104.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1104.png"")"
"1105","Mystic Container","1105.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1105.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1105.png"")"
"1110","Magic Potion","1110.png","https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1110.png","=IMAGE(""https://cdn.jsdelivr.net/gh/Bokpau/mlbb-tool@main/items/1110.png"")"
